race,religion,nationalorigin,complainantBestTimeToContactYou,sex,disability,familialstatus,other,otherReasonDescription,respondentFirstName,respondentLastName,respondentOrganization,respondentPhoneNumber,respondentEmail,discriminationLocationName,discriminationAddress,discriminationAptSuiteUnit,discriminationCity,discriminationState,discriminationZip,discriminationDate,discriminationDescription,complainantFirstName,complainantLastName,complainantPhoneNumber,complainantEmail,compliantBestTimeToContactYou,complainantAddress,complainantAptSuiteUnit,complainantCity,complainantState,complainantZip,alternateContactFirstName,alternateContactLastName,alternateContactRelationship,alternateContactPhoneNumber,alternateContactEmail
true,false,false,morning,false,false,false,false,,Harikrishna,Bhuvanagiri,tst,(301) 569-3694,bhuvanagiri@gmail.com,My Home,13622 NIGHT SKY DR,10,SILVER SPRING,MD,20906,2021-02-03T05:00:00.000Z,test,DIGITAL FEDERAL,test,(301) 569-3694,bhuvanagiri@gmail.com,afternoon,"220 DONALD LYNCH BOULEVARD,PO BOX 9130",1,MARLBOROUGH,MA,12345,a,a,familyMemberOrFriend,(301) 569-3694,C@gmail.com
false,true,false,morning,false,false,false,false,,Harikrishna,Bhuvanagiri,tst,(301) 569-3694,bhuvanagiri@gmail.com,My Home,13622 NIGHT SKY DR,10,SILVER SPRING,MD,20906,2021-02-03T05:00:00.000Z,test,DIGITAL FEDERAL,test,(301) 569-3694,bhuvanagiri@gmail.com,afternoon,"220 DONALD LYNCH BOULEVARD,PO BOX 9130",1,MARLBOROUGH,MA,12345,a,a,familyMemberOrFriend,(301) 569-3694,C@gmail.com
false,false,true,morning,false,false,false,false,,Harikrishna,Bhuvanagiri,tst,(301) 569-3694,bhuvanagiri@gmail.com,My Home,13622 NIGHT SKY DR,10,SILVER SPRING,MD,20906,2021-02-03T05:00:00.000Z,test,DIGITAL FEDERAL,test,(301) 569-3694,bhuvanagiri@gmail.com,afternoon,"220 DONALD LYNCH BOULEVARD,PO BOX 9130",1,MARLBOROUGH,MA,12345,a,a,familyMemberOrFriend,(301) 569-3694,C@gmail.com
false,false,false,morning,true,false,false,false,,Harikrishna,Bhuvanagiri,tst,(301) 569-3694,bhuvanagiri@gmail.com,My Home,13622 NIGHT SKY DR,10,SILVER SPRING,MD,20906,2021-02-03T05:00:00.000Z,test,DIGITAL FEDERAL,test,(301) 569-3694,bhuvanagiri@gmail.com,afternoon,"220 DONALD LYNCH BOULEVARD,PO BOX 9130",1,MARLBOROUGH,MA,12345,a,a,familyMemberOrFriend,(301) 569-3695,C@gmail.com
false,false,false,morning,false,true,false,false,,Harikrishna,Bhuvanagiri,tst,(301) 569-3694,bhuvanagiri@gmail.com,My Home,13622 NIGHT SKY DR,10,SILVER SPRING,MD,20906,2021-02-03T05:00:00.000Z,test,DIGITAL FEDERAL,test,(301) 569-3694,bhuvanagiri@gmail.com,afternoon,"220 DONALD LYNCH BOULEVARD,PO BOX 9130",1,MARLBOROUGH,MA,12345,a,a,familyMemberOrFriend,(301) 569-3696,C@gmail.com
false,false,false,morning,false,false,true,false,,Harikrishna,Bhuvanagiri,tst,(301) 569-3694,bhuvanagiri@gmail.com,My Home,13622 NIGHT SKY DR,10,SILVER SPRING,MD,20906,2021-02-03T05:00:00.000Z,test,DIGITAL FEDERAL,test,(301) 569-3694,bhuvanagiri@gmail.com,afternoon,"220 DONALD LYNCH BOULEVARD,PO BOX 9130",1,MARLBOROUGH,MA,12345,a,a,familyMemberOrFriend,(301) 569-3697,C@gmail.com
false,false,false,morning,false,false,true,true,test,Harikrishna,Bhuvanagiri,tst,(301) 569-3694,bhuvanagiri@gmail.com,My Home,13622 NIGHT SKY DR,10,SILVER SPRING,MD,20906,2021-02-03T05:00:00.000Z,test,DIGITAL FEDERAL,test,(301) 569-3694,bhuvanagiri@gmail.com,afternoon,"220 DONALD LYNCH BOULEVARD,PO BOX 9130",1,MARLBOROUGH,MA,12345,a,a,familyMemberOrFriend,(301) 569-3698,C@gmail.com
true,false,false,morning,false,false,false,false,,Harikrishna,Bhuvanagiri,tst,(301) 569-3694,bhuvanagiri@gmail.com,My Home,13622 NIGHT SKY DR,10,SILVER SPRING,MD,20906,2021-02-03T05:00:00.000Z,test,DIGITAL FEDERAL,test,(301) 569-3694,bhuvanagiri@gmail.com,afternoon,"220 DONALD LYNCH BOULEVARD,PO BOX 9130",4,MARLBOROUGH,MA,12345,a,a,familyMemberOrFriend,(301) 569-3699,C@gmail.com
true,false,false,morning,false,false,false,false,,Harikrishna,Bhuvanagiri,tst,(301) 569-3694,bhuvanagiri@gmail.com,My Home,13622 NIGHT SKY DR,10,SILVER SPRING,MD,20906,2021-02-03T05:00:00.000Z,test,DIGITAL FEDERAL,test,(301) 569-3694,bhuvanagiri@gmail.com,afternoon,"220 DONALD LYNCH BOULEVARD,PO BOX 9130",4,MARLBOROUGH,MA,12345,a,a,familyMemberOrFriend,(301) 569-3699,C@gmail.com
true,false,false,afternoon,false,false,false,false,,Harikrishna,Bhuvanagiri,tst,(301) 569-3694,bhuvanagiri@gmail.com,My Home,13622 NIGHT SKY DR,10,SILVER SPRING,MD,20906,2021-02-03T05:00:00.000Z,test,DIGITAL FEDERAL,test,(301) 569-3694,bhuvanagiri@gmail.com,afternoon,"220 DONALD LYNCH BOULEVARD,PO BOX 9130",4,MARLBOROUGH,MA,12345,a,a,familyMemberOrFriend,(301) 569-3699,C@gmail.com
